rating,review
5.0,"Social distancing benar2 dilaksanakan.. opposite chair is tied to the table's leg, so it can't be used .. Not too crowded during daytime"
5.0,Securitynya de best👌
1.0,"Used to be the best McDonald's outlet in town, but recently the waiting time can be as long as 30 mins both in the drive thru and restaurant. Plenty of Gojek waiting for orders should have given the management clues how long wait time is. We used to love this outlet. Clean and good service. I dont know what happened here, different manager maybe?"
2.0,"3 separate occasions, I bought fries for my son, and they gave me limp old fries, salty coz it's been out long, in other words 'not fresh'. Please maintain quality, as I have to buy a fresh one from Burger King for my son"
5.0,.................................................. .................................................. .................................................. .................................................. Good
4.0,"Nice place, nice service as usual McD is. It has a playground for children. The parking lot is narrow. Everytime I go there on peak hours, I always having a bad time with the toilet smell. But that's the customer fault so nevermind."
5.0,Perfect as usual I ordered chicken porridge and hot coffee for my breakfast. Thats made my tummy full enough until lunch time 🤭 Oops.. Forgot to took a picturr 😁
5.0,Favourite place for hangout and breakfast.They followed health protocols quite well.Favourite breakfast menu = Big Breakfast
5.0,There are 2 story building. And you can find pa small playland for infant. So you can enjoy with your babies here. Really only a single small playland. But its nice for you to hang out with your children here
4.0,Access to place not easy. They have parking space. Nice place in pandemic they follow rule and still i see many people's come to buy...
