rating,review
4.0,"(Translated by Google) The place is comfortable, the service is decent, the food is quite good. Just love stingy chili (Original) Tempatnya nyaman, pelayanan lumayan, masakannya cukup enak. Cuman sayang pelit sambal"
4.0,(Translated by Google) Order for maxi this afternoon...my friend told muji...he said the fried chicken was delicious and tasty.. (Original) Pesanan utk maksi siang ini ...temenku pada muji... katanya ayam goreng nya enak dan gurih..
5.0,"(Translated by Google) Cheap prices, good food. There are two types of sambal and take as much as you like. Really recommend, never regret coming here (Original) Harga murah, makanan enak. Sambelnya ada dua jenis dan ambil sepuasnya. Rekomen banget ga pernah nyesel kesini"
5.0,"(Translated by Google) Easy access to reach. Friendly service. Comfortable, clean place. The menu is the mainstay of fried chicken and grilled chicken there are also other menu choices that are not less tasty 😋 Always subscribed to eat and not bored, The taste doesn't disappoint ... Prices are still affordable ... Serving take away .... The packing is clean and attractive. Once recommended and best seller ... Always success for fried chicken hut Kalasan TAS THE SAME .. 🙏👌 (Original) Akses jalan mudah di jangkau. Pelayanan Ramah. Tempat nyaman, bersih. Menu nya andalan ayam goreng dan ayam bakar juga terdapat pilihan menu lain yg tak kalah enak 😋 Selalu berlangganan makan dan tak bosan, Rasa tidak mengecewakan... Harga masih terjangkau... Melayani take away.... Packing nya bersih dan menarik. Recommended sekali dan best seller... Sukses selalu buat pondok makan ayam goreng Kalasan RASA SAMA.. 🙏👌"
4.0,"(Translated by Google) A Javanese restaurant-style restaurant, serving a variety of ready-to-eat food, with special grilled and fried menus, usually visitors are more often in groups or in two. All dishes are ""MANTUL"", the service is fast and friendly. Can gofood. Also. The place is clean, and cool .👍🙏 (Original) Rumah makan ala resto jawa, menyajikan berbagai makanan siap saji, dengan menu spesial bakar' dan goreng, biasanya pengunjung lebih sering berkelompok atau berdua.semua hidangan nya"" MANTUL"" pelayanan nya cepat dan ramah.bisa gofood.juga.tempatnya bersih, dan adem.👍🙏"
4.0,"(Translated by Google) The fried and grilled chicken is delicious, the price is competitive..... the place is a bit hot because it doesn't use AC (Original) Enak ayam goreng dan bakar nya harga kompetitif..... tempat agak panas Krn tdk pakai ac"
5.0,"(Translated by Google) Mantappp.... delicious, savory fried chicken plus the chili matchstick which is top spicy and tastes good.... (Original) Mantappp.... enak, gurih ayam gorengnya ditambah lagi sambal koreknya yg top pedas dan rasanya.... 😙"
1.0,"(Translated by Google) Prices are expensive, the menu is all over. I'm confused about what the menu book is for. There are too few employees, so they serve them for a long time. (Original) Harga mahal, menunya pada habis semua. 🤣 Sampe bingung buku menunya buat apaan. Karyawan jg dikit bgt, jadi ngelayaninya lama."
4.0,"(Translated by Google) The food is delicious, but when it's busy, the waiter is a bit annoying (Original) Makanannya enak tp kalo lg rame pelayannya agak nyebelin wkwk"
4.0,"(Translated by Google) clean place, the menu is also delicious the sauce is delicious tends to be sweet (still not spicy enough for me) especially when there the claw is already over,: ') but it's still so far worth it ... (Original) tempat bersih, menu nya juga enak sambel nya enak cenderung manis (msh tep kurang pedes buat saya) apalagi waktu kesana ceker udah abis, :') but so far msh worth it lah,,"
